country,iso2,iso3,hr_regex,ge_regex,year_label,start_year,end_year,Dates of Fieldwork,Phase,Recode,hr_fname,ge_fname,prev_year,survey_name,iso_a3,geometry,epsg,config_str
Jordan,JO,JOR,JOHR**DT,JOGE**FL,2017-18,2017,2018,10/2017- 01/2018,DHS-VII,DHS-VII,,,2016,JO_2017-18_DHS,JOR,POINT (36.77945490632519 31.245490584748417),32637,"
    [JO_2017-18_DHS]
    output_name = JO_2017-18_DHS
    country_name = jordan
    osm_date = 220101
    dhs_hh_file_name = None
    dhs_geo_file_name = None
    country_utm_epsg_code = 32637
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_jo_dhs_buffer
    ntl_year = 2016
    geospatial_variable_years = [2016]
    "
Kenya,KE,KEN,KEHR**DT,KEGE**FL,2014,2014,2014,05/2014- 10/2014,DHS-VII,DHS-VI,KEHR72DT,KEGE71FL,2013,KE_2014_DHS,KEN,POINT (37.791555286661385 0.5959662521769523),32637,"
    [KE_2014_DHS]
    output_name = KE_2014_DHS
    country_name = kenya
    osm_date = 220101
    dhs_hh_file_name = KEHR72DT
    dhs_geo_file_name = KEGE71FL
    country_utm_epsg_code = 32637
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_ke_dhs_buffer
    ntl_year = 2013
    geospatial_variable_years = [2013]
    "
Lesotho,LS,LSO,LSHR**DT,LSGE**FL,2014,2014,2014,09/2014- 12/2014,DHS-VII,DHS-VI,LSHR71DT,LSGE71FL,2013,LS_2014_DHS,LSO,POINT (28.170105295170494 -29.625290493692013),32735,"
    [LS_2014_DHS]
    output_name = LS_2014_DHS
    country_name = lesotho
    osm_date = 220101
    dhs_hh_file_name = LSHR71DT
    dhs_geo_file_name = LSGE71FL
    country_utm_epsg_code = 32735
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_ls_dhs_buffer
    ntl_year = 2013
    geospatial_variable_years = [2013]
    "
Liberia,LB,LBR,LBHR**DT,LBGE**FL,2019-20,2019,2020,10/2019- 02/2020,DHS-VII,DHS-VII,LBHR7ADT,LBGE7AFL,2018,LB_2019-20_DHS,LBR,POINT (-9.410836154371117 6.431619862252993),32629,"
    [LB_2019-20_DHS]
    output_name = LB_2019-20_DHS
    country_name = liberia
    osm_date = 220101
    dhs_hh_file_name = LBHR7ADT
    dhs_geo_file_name = LBGE7AFL
    country_utm_epsg_code = 32629
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_lb_dhs_buffer
    ntl_year = 2018
    geospatial_variable_years = [2018]
    "
Malawi,MW,MWI,MWHR**DT,MWGE**FL,2015-16,2015,2016,10/2015- 02/2016,DHS-VII,DHS-VII,MWHR7ADT,MWGE7AFL,2014,MW_2015-16_DHS,MWI,POINT (34.193605326922366 -13.172834992341919),32736,"
    [MW_2015-16_DHS]
    output_name = MW_2015-16_DHS
    country_name = malawi
    osm_date = 220101
    dhs_hh_file_name = MWHR7ADT
    dhs_geo_file_name = MWGE7AFL
    country_utm_epsg_code = 32736
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_mw_dhs_buffer
    ntl_year = 2014
    geospatial_variable_years = [2014]
    "
Mali,ML,MLI,MLHR**DT,MLGE**FL,2018,2018,2018,08/2018- 11/2018,DHS-VII,DHS-VII,MLHR7ADT,MLGE7AFL,2017,ML_2018_DHS,MLI,POINT (-3.543294339453343 17.267772061700715),32630,"
    [ML_2018_DHS]
    output_name = ML_2018_DHS
    country_name = mali
    osm_date = 220101
    dhs_hh_file_name = MLHR7ADT
    dhs_geo_file_name = MLGE7AFL
    country_utm_epsg_code = 32630
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_ml_dhs_buffer
    ntl_year = 2017
    geospatial_variable_years = [2017]
    "
Mauritania,MR,MRT,MRHR**DT,MRGE**FL,2019-21,2019,2020,11/2019- 04/2020,DHS-VII,DHS-VII,MRHR71DT,MRGE71FL,2018,MR_2019-21_DHS,MRT,POINT (-10.326396925234992 20.20926720635376),32629,"
    [MR_2019-21_DHS]
    output_name = MR_2019-21_DHS
    country_name = mauritania
    osm_date = 220101
    dhs_hh_file_name = MRHR71DT
    dhs_geo_file_name = MRGE71FL
    country_utm_epsg_code = 32629
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_mr_dhs_buffer
    ntl_year = 2018
    geospatial_variable_years = [2018]
    "
Myanmar,MM,MMR,MMHR**DT,MMGE**FL,2015-16,2015,2016,12/2015- 07/2016,DHS-VII,DHS-VII,,,2014,MM_2015-16_DHS,MMR,POINT (96.50584094206161 21.016999873773827),32647,"
    [MM_2015-16_DHS]
    output_name = MM_2015-16_DHS
    country_name = myanmar
    osm_date = 220101
    dhs_hh_file_name = None
    dhs_geo_file_name = None
    country_utm_epsg_code = 32647
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_mm_dhs_buffer
    ntl_year = 2014
    geospatial_variable_years = [2014]
    "
Nepal,NP,NPL,NPHR**DT,NPGE**FL,2016,2016,2017,06/2016- 01/2017,DHS-VII,DHS-VII,,,2015,NP_2016_DHS,NPL,POINT (84.01317367692529 28.23944001904935),32645,"
    [NP_2016_DHS]
    output_name = NP_2016_DHS
    country_name = nepal
    osm_date = 220101
    dhs_hh_file_name = None
    dhs_geo_file_name = None
    country_utm_epsg_code = 32645
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_np_dhs_buffer
    ntl_year = 2015
    geospatial_variable_years = [2015]
    "
Nigeria,NG,NGA,NGHR**DT,NGGE**FL,2018,2018,2018,08/2018- 12/2018,DHS-VII,DHS-VII,NGHR7BDT,NGGE7BFL,2017,NG_2018_DHS,NGA,POINT (7.995127754089786 9.548318418209965),32632,"
    [NG_2018_DHS]
    output_name = NG_2018_DHS
    country_name = nigeria
    osm_date = 220101
    dhs_hh_file_name = NGHR7BDT
    dhs_geo_file_name = NGGE7BFL
    country_utm_epsg_code = 32632
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_ng_dhs_buffer
    ntl_year = 2017
    geospatial_variable_years = [2017]
    "
Pakistan,PK,PAK,PKHR**DT,PKGE**FL,2017-18,2017,2018,11/2017- 04/2018,DHS-VII,DHS-VII,PKHR71DT,PKGE71FL,2016,PK_2017-18_DHS,PAK,POINT (69.41399806318127 29.973460025547393),32642,"
    [PK_2017-18_DHS]
    output_name = PK_2017-18_DHS
    country_name = pakistan
    osm_date = 220101
    dhs_hh_file_name = PKHR71DT
    dhs_geo_file_name = PKGE71FL
    country_utm_epsg_code = 32642
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_pk_dhs_buffer
    ntl_year = 2016
    geospatial_variable_years = [2016]
    "
Philippines,PH,PHL,PHHR**DT,PHGE**FL,2017,2017,2017,08/2017- 10/2017,DHS-VII,DHS-VII,PHHR71DT,PHGE71FL,2016,PH_2017_DHS,PHL,POINT (122.90267236988682 11.763799362297663),32651,"
    [PH_2017_DHS]
    output_name = PH_2017_DHS
    country_name = philippines
    osm_date = 220101
    dhs_hh_file_name = PHHR71DT
    dhs_geo_file_name = PHGE71FL
    country_utm_epsg_code = 32651
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_ph_dhs_buffer
    ntl_year = 2016
    geospatial_variable_years = [2016]
    "
Rwanda,RW,RWA,RWHR**DT,RWGE**FL,2014-15,2014,2015,11/2014- 04/2015,DHS-VII,DHS-VI,RWHR81DT,RWGE81FL,2013,RW_2014-15_DHS,RWA,POINT (29.91896392224289 -2.0135144658341346),32735,"
    [RW_2014-15_DHS]
    output_name = RW_2014-15_DHS
    country_name = rwanda
    osm_date = 220101
    dhs_hh_file_name = RWHR81DT
    dhs_geo_file_name = RWGE81FL
    country_utm_epsg_code = 32735
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_rw_dhs_buffer
    ntl_year = 2013
    geospatial_variable_years = [2013]
    "
Sierra Leone,SL,SLE,SLHR**DT,SLGE**FL,2019,2019,2019,05/2019- 08/2019,DHS-VII,DHS-VII,SLHR7ADT,SLGE7AFL,2018,SL_2019_DHS,SLE,POINT (-11.795257428559948 8.53035372615305),32629,"
    [SL_2019_DHS]
    output_name = SL_2019_DHS
    country_name = sierra-leone
    osm_date = 220101
    dhs_hh_file_name = SLHR7ADT
    dhs_geo_file_name = SLGE7AFL
    country_utm_epsg_code = 32629
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_sl_dhs_buffer
    ntl_year = 2018
    geospatial_variable_years = [2018]
    "
South Africa,ZA,ZAF,ZAHR**DT,ZAGE**FL,2016,2016,2016,06/2016- 11/2016,DHS-VII,DHS-VII,ZAHR71DT,ZAGE71FL,2015,ZA_2016_DHS,ZAF,POINT (25.048013879861678 -28.947033259979115),32735,"
    [ZA_2016_DHS]
    output_name = ZA_2016_DHS
    country_name = south-africa
    osm_date = 220101
    dhs_hh_file_name = ZAHR71DT
    dhs_geo_file_name = ZAGE71FL
    country_utm_epsg_code = 32735
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_za_dhs_buffer
    ntl_year = 2015
    geospatial_variable_years = [2015]
    "
Tajikistan,TJ,TJK,TJHR**DT,TJGE**FL,2017,2017,2017,08/2017- 11/2017,DHS-VII,DHS-VII,,,2016,TJ_2017_DHS,TJK,POINT (71.03443504896113 38.58308146421082),32642,"
    [TJ_2017_DHS]
    output_name = TJ_2017_DHS
    country_name = tajikistan
    osm_date = 220101
    dhs_hh_file_name = None
    dhs_geo_file_name = None
    country_utm_epsg_code = 32642
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_tj_dhs_buffer
    ntl_year = 2016
    geospatial_variable_years = [2016]
    "
Tanzania,TZ,TZA,TZHR**DT,TZGE**FL,2015-16,2015,2016,08/2015- 02/2016,DHS-VII,DHS-VII,TZHR7BDT,TZGE7AFL,2014,TZ_2015-16_DHS,TZA,POINT (34.75298985475595 -6.257732428506092),32736,"
    [TZ_2015-16_DHS]
    output_name = TZ_2015-16_DHS
    country_name = tanzania
    osm_date = 220101
    dhs_hh_file_name = TZHR7BDT
    dhs_geo_file_name = TZGE7AFL
    country_utm_epsg_code = 32736
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_tz_dhs_buffer
    ntl_year = 2014
    geospatial_variable_years = [2014]
    "
Uganda,UG,UGA,UGHR**DT,UGGE**FL,2016,2016,2016,06/2016- 12/2016,DHS-VII,DHS-VII,UGHR7IDT,UGGE7AFL,2015,UG_2016_DHS,UGA,POINT (32.35755031998686 1.2954855035097297),32636,"
    [UG_2016_DHS]
    output_name = UG_2016_DHS
    country_name = uganda
    osm_date = 220101
    dhs_hh_file_name = UGHR7IDT
    dhs_geo_file_name = UGGE7AFL
    country_utm_epsg_code = 32636
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_ug_dhs_buffer
    ntl_year = 2015
    geospatial_variable_years = [2015]
    "
Zambia,ZM,ZMB,ZMHR**DT,ZMGE**FL,2018,2018,2019,07/2018- 01/2019,DHS-VII,DHS-VII,ZMHR71DT,ZMGE71FL,2017,ZM_2018_DHS,ZMB,POINT (27.727591918760577 -13.395067553524187),32735,"
    [ZM_2018_DHS]
    output_name = ZM_2018_DHS
    country_name = zambia
    osm_date = 220101
    dhs_hh_file_name = ZMHR71DT
    dhs_geo_file_name = ZMGE71FL
    country_utm_epsg_code = 32735
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_zm_dhs_buffer
    ntl_year = 2017
    geospatial_variable_years = [2017]
    "
Zimbabwe,ZW,ZWE,ZWHR**DT,ZWGE**FL,2015,2015,2015,07/2015- 12/2015,DHS-VII,DHS-VII,ZWHR72DT,ZWGE72FL,2014,ZW_2015_DHS,ZWE,POINT (29.788548371892524 -18.906987947858802),32735,"
    [ZW_2015_DHS]
    output_name = ZW_2015_DHS
    country_name = zimbabwe
    osm_date = 220101
    dhs_hh_file_name = ZWHR72DT
    dhs_geo_file_name = ZWGE72FL
    country_utm_epsg_code = 32735
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_zw_dhs_buffer
    ntl_year = 2014
    geospatial_variable_years = [2014]
    "
