DHSID,service_traffic_count,water_traffic_count,driving_traffic_count,all_traffic_count
ML201800000067,0.0,0.0,0.0,0.0
ML201800000068,0.0,0.0,0.0,0.0
ML201800000069,22.0,0.0,15.0,37.0
ML201800000070,0.0,0.0,0.0,0.0
ML201800000071,3.0,0.0,0.0,3.0
ML201800000072,0.0,0.0,0.0,0.0
ML201800000073,1.0,0.0,0.0,1.0
ML201800000074,14.0,0.0,15.0,29.0
ML201800000075,58.0,0.0,239.0,297.0
ML201800000076,3.0,0.0,5.0,8.0
ML201800000077,1.0,1.0,33.0,35.0
ML201800000078,94.0,2.0,104.0,200.0
ML201800000079,79.0,2.0,71.0,152.0
ML201800000080,24.0,2.0,19.0,45.0
ML201800000081,29.0,2.0,246.0,277.0
ML201800000082,0.0,0.0,0.0,0.0
ML201800000083,0.0,0.0,0.0,0.0
ML201800000084,0.0,0.0,0.0,0.0
ML201800000085,0.0,0.0,0.0,0.0
ML201800000086,0.0,0.0,0.0,0.0
ML201800000087,4.0,0.0,12.0,16.0
ML201800000088,0.0,0.0,0.0,0.0
ML201800000089,2.0,0.0,0.0,2.0
ML201800000090,0.0,0.0,0.0,0.0
ML201800000091,0.0,0.0,0.0,0.0
ML201800000092,0.0,0.0,0.0,0.0
ML201800000093,0.0,0.0,0.0,0.0
ML201800000094,0.0,0.0,0.0,0.0
ML201800000095,0.0,0.0,0.0,0.0
ML201800000096,0.0,0.0,0.0,0.0
ML201800000097,0.0,0.0,0.0,0.0
ML201800000098,0.0,0.0,0.0,0.0
ML201800000099,0.0,0.0,0.0,0.0
ML201800000100,0.0,0.0,0.0,0.0
ML201800000101,0.0,0.0,0.0,0.0
ML201800000102,0.0,0.0,0.0,0.0
ML201800000103,0.0,0.0,3.0,3.0
ML201800000104,0.0,0.0,0.0,0.0
ML201800000105,0.0,0.0,0.0,0.0
ML201800000106,0.0,0.0,0.0,0.0
ML201800000107,0.0,0.0,0.0,0.0
ML201800000108,0.0,0.0,0.0,0.0
ML201800000109,5.0,0.0,4.0,9.0
ML201800000110,6.0,0.0,6.0,12.0
ML201800000111,5.0,0.0,4.0,9.0
ML201800000112,3.0,0.0,2.0,5.0
ML201800000113,0.0,0.0,0.0,0.0
ML201800000114,0.0,0.0,0.0,0.0
ML201800000115,0.0,0.0,0.0,0.0
ML201800000116,1.0,0.0,0.0,1.0
ML201800000117,0.0,0.0,0.0,0.0
ML201800000118,0.0,0.0,0.0,0.0
ML201800000119,0.0,0.0,0.0,0.0
ML201800000120,0.0,0.0,0.0,0.0
ML201800000121,0.0,0.0,0.0,0.0
ML201800000122,4.0,0.0,2.0,6.0
ML201800000123,0.0,0.0,0.0,0.0
ML201800000124,0.0,0.0,0.0,0.0
ML201800000125,0.0,0.0,0.0,0.0
ML201800000126,0.0,0.0,0.0,0.0
ML201800000127,0.0,0.0,0.0,0.0
ML201800000128,0.0,0.0,0.0,0.0
ML201800000129,0.0,0.0,0.0,0.0
ML201800000130,0.0,0.0,0.0,0.0
ML201800000131,0.0,0.0,0.0,0.0
ML201800000132,0.0,0.0,0.0,0.0
ML201800000133,0.0,0.0,0.0,0.0
ML201800000134,0.0,1.0,0.0,1.0
ML201800000135,0.0,0.0,0.0,0.0
ML201800000136,0.0,0.0,0.0,0.0
ML201800000137,0.0,0.0,0.0,0.0
ML201800000138,0.0,0.0,0.0,0.0
ML201800000139,0.0,0.0,0.0,0.0
ML201800000140,6.0,0.0,13.0,19.0
ML201800000141,10.0,0.0,13.0,23.0
ML201800000142,0.0,0.0,0.0,0.0
ML201800000143,0.0,0.0,0.0,0.0
ML201800000144,2.0,0.0,0.0,2.0
ML201800000145,0.0,0.0,0.0,0.0
ML201800000146,0.0,0.0,0.0,0.0
ML201800000147,0.0,0.0,0.0,0.0
ML201800000148,0.0,0.0,0.0,0.0
ML201800000149,0.0,0.0,0.0,0.0
ML201800000150,11.0,0.0,0.0,11.0
ML201800000151,0.0,0.0,0.0,0.0
ML201800000152,0.0,0.0,0.0,0.0
ML201800000153,0.0,0.0,0.0,0.0
ML201800000154,0.0,0.0,0.0,0.0
ML201800000155,0.0,0.0,0.0,0.0
ML201800000156,0.0,0.0,0.0,0.0
ML201800000157,0.0,0.0,0.0,0.0
ML201800000158,0.0,0.0,0.0,0.0
ML201800000159,0.0,0.0,0.0,0.0
ML201800000160,2.0,2.0,0.0,4.0
ML201800000161,0.0,0.0,0.0,0.0
ML201800000162,0.0,0.0,0.0,0.0
ML201800000163,17.0,1.0,1.0,19.0
ML201800000164,19.0,0.0,0.0,19.0
ML201800000165,21.0,1.0,1.0,23.0
ML201800000166,0.0,0.0,0.0,0.0
ML201800000167,0.0,0.0,0.0,0.0
ML201800000168,0.0,0.0,0.0,0.0
ML201800000169,0.0,0.0,0.0,0.0
ML201800000170,0.0,0.0,0.0,0.0
ML201800000171,3.0,0.0,1.0,4.0
ML201800000172,0.0,0.0,0.0,0.0
ML201800000173,0.0,0.0,0.0,0.0
ML201800000174,1.0,0.0,0.0,1.0
ML201800000175,1.0,0.0,1.0,2.0
ML201800000176,0.0,0.0,0.0,0.0
ML201800000177,0.0,0.0,0.0,0.0
ML201800000178,0.0,0.0,0.0,0.0
ML201800000182,4.0,0.0,0.0,4.0
ML201800000183,0.0,0.0,0.0,0.0
ML201800000184,1.0,0.0,0.0,1.0
ML201800000185,1.0,0.0,0.0,1.0
ML201800000186,1.0,0.0,0.0,1.0
ML201800000187,0.0,0.0,0.0,0.0
ML201800000189,0.0,0.0,0.0,0.0
ML201800000190,0.0,0.0,0.0,0.0
ML201800000191,0.0,0.0,0.0,0.0
ML201800000192,0.0,0.0,0.0,0.0
ML201800000193,0.0,0.0,0.0,0.0
ML201800000194,0.0,0.0,0.0,0.0
ML201800000195,0.0,0.0,0.0,0.0
ML201800000196,3.0,0.0,0.0,3.0
ML201800000197,0.0,0.0,0.0,0.0
ML201800000198,0.0,0.0,0.0,0.0
ML201800000199,0.0,0.0,0.0,0.0
ML201800000200,0.0,0.0,0.0,0.0
ML201800000201,0.0,0.0,0.0,0.0
ML201800000202,6.0,0.0,0.0,6.0
ML201800000204,0.0,0.0,0.0,0.0
ML201800000205,0.0,0.0,0.0,0.0
ML201800000206,0.0,0.0,0.0,0.0
ML201800000207,0.0,0.0,0.0,0.0
ML201800000208,1.0,1.0,0.0,2.0
ML201800000209,1.0,1.0,0.0,2.0
ML201800000210,3.0,0.0,0.0,3.0
ML201800000211,0.0,0.0,0.0,0.0
ML201800000212,0.0,0.0,0.0,0.0
ML201800000213,0.0,0.0,0.0,0.0
ML201800000214,0.0,0.0,0.0,0.0
ML201800000215,0.0,0.0,0.0,0.0
ML201800000216,0.0,1.0,0.0,1.0
ML201800000217,0.0,0.0,1.0,1.0
ML201800000218,0.0,0.0,0.0,0.0
ML201800000219,0.0,0.0,0.0,0.0
ML201800000221,0.0,0.0,0.0,0.0
ML201800000222,0.0,0.0,1.0,1.0
ML201800000223,0.0,0.0,0.0,0.0
ML201800000224,0.0,0.0,0.0,0.0
ML201800000226,1.0,1.0,0.0,2.0
ML201800000227,0.0,0.0,0.0,0.0
ML201800000229,0.0,0.0,0.0,0.0
ML201800000230,0.0,0.0,0.0,0.0
ML201800000238,0.0,0.0,0.0,0.0
ML201800000239,0.0,0.0,0.0,0.0
ML201800000243,0.0,0.0,0.0,0.0
ML201800000245,0.0,0.0,0.0,0.0
ML201800000253,0.0,0.0,0.0,0.0
ML201800000254,0.0,0.0,0.0,0.0
ML201800000255,0.0,0.0,0.0,0.0
ML201800000256,0.0,0.0,0.0,0.0
ML201800000257,0.0,0.0,0.0,0.0
ML201800000258,0.0,0.0,0.0,0.0
ML201800000259,0.0,0.0,0.0,0.0
ML201800000260,0.0,0.0,0.0,0.0
ML201800000261,0.0,0.0,0.0,0.0
ML201800000262,0.0,0.0,0.0,0.0
ML201800000263,0.0,0.0,0.0,0.0
ML201800000264,0.0,0.0,0.0,0.0
ML201800000265,0.0,0.0,0.0,0.0
ML201800000266,0.0,0.0,0.0,0.0
ML201800000269,0.0,1.0,0.0,1.0
ML201800000270,0.0,0.0,0.0,0.0
ML201800000271,0.0,0.0,0.0,0.0
ML201800000272,0.0,0.0,0.0,0.0
ML201800000273,0.0,0.0,0.0,0.0
ML201800000274,0.0,0.0,0.0,0.0
ML201800000275,0.0,0.0,0.0,0.0
ML201800000276,0.0,0.0,1.0,1.0
ML201800000277,0.0,0.0,0.0,0.0
ML201800000278,0.0,0.0,0.0,0.0
ML201800000279,0.0,0.0,0.0,0.0
ML201800000280,0.0,0.0,0.0,0.0
ML201800000281,0.0,0.0,0.0,0.0
ML201800000282,0.0,0.0,0.0,0.0
ML201800000283,0.0,0.0,0.0,0.0
ML201800000284,0.0,0.0,0.0,0.0
ML201800000285,4.0,0.0,1.0,5.0
ML201800000286,0.0,0.0,0.0,0.0
ML201800000288,0.0,0.0,1.0,1.0
ML201800000290,0.0,0.0,0.0,0.0
ML201800000291,2.0,0.0,1.0,3.0
ML201800000292,1.0,0.0,0.0,1.0
ML201800000293,4.0,0.0,1.0,5.0
ML201800000294,0.0,0.0,2.0,2.0
ML201800000295,0.0,0.0,0.0,0.0
ML201800000296,0.0,0.0,0.0,0.0
ML201800000297,0.0,0.0,0.0,0.0
ML201800000298,0.0,0.0,0.0,0.0
ML201800000299,0.0,0.0,0.0,0.0
ML201800000300,0.0,0.0,0.0,0.0
ML201800000301,0.0,0.0,0.0,0.0
ML201800000302,0.0,0.0,0.0,0.0
ML201800000303,0.0,0.0,0.0,0.0
ML201800000305,0.0,0.0,0.0,0.0
ML201800000306,0.0,0.0,0.0,0.0
ML201800000307,0.0,0.0,0.0,0.0
ML201800000311,0.0,0.0,0.0,0.0
ML201800000312,0.0,0.0,0.0,0.0
ML201800000313,0.0,0.0,0.0,0.0
ML201800000314,0.0,0.0,0.0,0.0
ML201800000315,0.0,0.0,0.0,0.0
ML201800000316,0.0,0.0,0.0,0.0
ML201800000317,0.0,0.0,0.0,0.0
ML201800000318,0.0,0.0,0.0,0.0
ML201800000319,0.0,0.0,0.0,0.0
ML201800000320,0.0,0.0,0.0,0.0
ML201800000321,0.0,0.0,0.0,0.0
ML201800000322,0.0,0.0,0.0,0.0
ML201800000323,0.0,0.0,0.0,0.0
ML201800000324,0.0,0.0,0.0,0.0
ML201800000325,0.0,0.0,0.0,0.0
ML201800000326,0.0,0.0,0.0,0.0
ML201800000327,0.0,0.0,0.0,0.0
ML201800000328,0.0,0.0,0.0,0.0
ML201800000329,0.0,0.0,0.0,0.0
ML201800000330,0.0,0.0,0.0,0.0
ML201800000331,0.0,0.0,0.0,0.0
ML201800000332,0.0,0.0,0.0,0.0
ML201800000333,20.0,0.0,74.0,94.0
ML201800000334,15.0,0.0,71.0,86.0
ML201800000335,18.0,0.0,76.0,94.0
ML201800000336,21.0,0.0,124.0,145.0
ML201800000337,8.0,0.0,0.0,8.0
ML201800000338,8.0,0.0,5.0,13.0
ML201800000339,25.0,0.0,219.0,244.0
ML201800000340,10.0,0.0,12.0,22.0
ML201800000341,12.0,0.0,49.0,61.0
ML201800000342,15.0,0.0,123.0,138.0
ML201800000343,32.0,0.0,154.0,186.0
ML201800000344,33.0,0.0,239.0,272.0
ML201800000345,23.0,3.0,290.0,316.0
ML201800000346,34.0,0.0,17.0,51.0
ML201800000347,36.0,2.0,207.0,245.0
ML201800000348,35.0,4.0,297.0,336.0
ML201800000349,14.0,0.0,47.0,61.0
ML201800000350,22.0,0.0,65.0,87.0
ML201800000351,27.0,0.0,103.0,130.0
ML201800000352,24.0,0.0,70.0,94.0
ML201800000353,37.0,0.0,122.0,159.0
ML201800000354,47.0,0.0,72.0,119.0
ML201800000355,45.0,0.0,130.0,175.0
ML201800000356,3.0,0.0,5.0,8.0
ML201800000357,16.0,0.0,36.0,52.0
ML201800000358,19.0,0.0,29.0,48.0
ML201800000359,34.0,0.0,36.0,70.0
ML201800000360,43.0,0.0,31.0,74.0
ML201800000361,38.0,0.0,20.0,58.0
ML201800000362,43.0,0.0,17.0,60.0
ML201800000363,38.0,0.0,13.0,51.0
ML201800000364,40.0,0.0,32.0,72.0
ML201800000365,22.0,0.0,9.0,31.0
ML201800000366,26.0,0.0,36.0,62.0
ML201800000367,38.0,4.0,68.0,110.0
ML201800000368,8.0,1.0,37.0,46.0
ML201800000369,19.0,0.0,10.0,29.0
ML201800000370,12.0,1.0,2.0,15.0
ML201800000371,31.0,1.0,15.0,47.0
ML201800000372,28.0,0.0,15.0,43.0
ML201800000373,52.0,0.0,23.0,75.0
ML201800000374,20.0,0.0,34.0,54.0
ML201800000375,32.0,0.0,19.0,51.0
ML201800000376,28.0,0.0,23.0,51.0
ML201800000377,20.0,0.0,15.0,35.0
ML201800000378,16.0,0.0,10.0,26.0
ML201800000379,5.0,0.0,0.0,5.0
